title,genre,gross,release_year
"First Love, Last Rites",Drama,10876,1950
I Married a Strange Person,Comedy,203134,1982
Let's Talk About Sex,Comedy,373615,1926
Slam,Drama,1009819,1966
Foolish,Comedy,6026908,1960
Oliver!,Musical,37402877,1967
12 Angry Men,Drama,0,1983
Twelve Monkeys,Drama,57141459,1947
1776,Drama,0,1972
1941,Comedy,34175000,1953
Chacun sa nuit,Thriller/Suspense,18435,1988
"20,000 Leagues Under the Sea",Adventure,28200000,1930
"20,000 Leagues Under the Sea",Adventure,8000000,1917
24 7: Twenty Four Seven,Comedy,72544,1923
Twin Falls Idaho,Drama,985341,1970
Three Kingdoms: Resurrection of the Dragon,Action,0,1980
3 Men and a Baby,Comedy,167780960,1974
3 Ninjas Kick Back,Action,11744960,1920
Forty Shades of Blue,Drama,75828,1979
42nd Street,Musical,2300000,1956
Four Rooms,Comedy,4301000,1977
The Four Seasons,Comedy,42488161,1985
Four Weddings and a Funeral,Romantic Comedy,52700832,1916
55 Days at Peking,Drama,10000000,1916
Nine 1/2 Weeks,Drama,6734844,1972
AstÈrix aux Jeux Olympiques,Adventure,999811,1926
The Abyss,Action,54243125,1949
Action Jackson,Action,20257000,1976
Ace Ventura: Pet Detective,Comedy,72217396,1973
Ace Ventura: When Nature Calls,Comedy,108360063,1956
April Fool's Day,Horror,12947763,1980
Among Giants,Romantic Comedy,64359,1986
Annie Get Your Gun,Musical,8000000,1998
Alice in Wonderland,Musical,0,1913
The Princess and the Cobbler,Adventure,669276,1988
The Alamo,Western,7900000,1980
Alexander's Ragtime Band,Drama,4000000,1985
Alive,Adventure,36299670,1959
Amen,Drama,274299,1947
American Graffiti,Comedy,115000000,1927
American Ninja 2: The Confrontation,Action,4000000,1992
The American President,Romantic Comedy,60022813,1971
Annie Hall,Comedy,38251425,1945
Anatomie,Horror,9598,1950
The Adventures of Huck Finn,Adventure,24103594,1954
The Apartment,Romantic Comedy,18600000,1951
Apocalypse Now,Action,78800000,1962
Arachnophobia,Thriller/Suspense,53208180,1987
Arn - Tempelriddaren,Action,0,1990
Arnolds Park,Thriller/Suspense,23616,1976
And Then Came Love,Comedy,8158,1960
Around the World in 80 Days,Adventure,42000000,1917
Barbarella,Adventure,0,1946
Barry Lyndon,Drama,20000000,1987
Babe,Adventure,63658910,1943
Boynton Beach Club,Romantic Comedy,3127472,1960
Baby's Day Out,Comedy,16581575,1931
"Bon Cop, Bad Cop",Comedy,12671300,1969
