date_1,date_2,date_3,date_time
2019-12-05,2021-11-30,2022-06,2022-02-24 06:06:39
2020-09-20,2022-07-13,2022-05,2022-06-18 04:59:25
2021-04-09,2022-05-24,2022-10,2022-01-25 15:35:45
2021-05-27,2022-06-05,2021-12,2022-05-11 14:49:42
2019-06-30,2022-10-05,2022-01,2022-10-27 02:33:50
2021-06-05,2021-11-01,2022-09,2022-03-03 15:12:45
2019-12-29,2021-12-15,2022-08,2022-07-24 01:37:40
2018-11-29,2021-12-09,2022-03,2022-05-11 11:07:27
2019-04-21,2022-05-05,2022-07,2022-04-17 22:55:27
2019-03-31,2022-07-29,2022-08,2022-06-30 03:53:39
2020-06-27,2022-01-17,2022-05,2022-08-28 20:16:37
2020-03-27,2022-07-29,2022-07,2022-05-24 14:19:55
2021-07-07,2022-09-28,2022-02,2021-12-28 06:43:26
2021-01-16,2022-02-27,2022-03,2021-11-27 03:00:06
2021-10-04,2022-07-14,2022-09,2021-12-06 00:52:55
2020-04-11,2022-07-14,2022-05,2021-11-10 09:18:27
2019-06-26,2022-07-16,2022-07,2021-11-07 15:58:29
2021-01-08,2022-09-06,2022-02,2022-02-07 10:57:57
2019-09-29,2022-01-08,2022-08,2022-04-27 13:00:41
2019-02-23,2022-01-19,2022-07,2022-03-27 12:54:35
2019-04-21,2021-10-29,2022-01,2022-01-17 21:45:09
2019-01-12,2022-05-26,2022-09,2022-06-01 05:06:11
2018-11-17,2022-04-08,2022-05,2021-12-10 14:33:01
2020-02-09,2022-02-09,2022-06,2022-07-29 09:46:16
2021-06-27,2022-02-24,2022-10,2022-10-02 20:41:36
2020-05-20,2022-05-11,2022-09,2022-09-30 06:50:43
2019-02-25,2022-07-07,2021-12,2022-06-09 15:06:48
2021-06-15,2021-12-29,2022-01,2022-04-28 03:45:30
2021-10-19,2021-12-02,2022-02,2022-05-06 21:54:44
2020-05-07,2022-02-14,2021-11,2022-03-27 15:43:39
2018-11-07,2022-03-30,2022-03,2022-10-15 13:21:01
2020-12-04,2021-12-20,2022-03,2022-02-14 19:53:18
2021-01-20,2022-02-26,2022-05,2022-08-29 23:23:24
2021-07-26,2022-10-11,2022-06,2022-04-05 17:06:56
2020-08-23,2022-05-01,2022-05,2022-06-06 00:06:59
2019-12-23,2021-11-02,2022-07,2021-11-08 14:36:24
2018-12-16,2022-07-24,2022-07,2022-03-24 13:49:01
2020-09-05,2022-03-21,2022-10,2022-04-13 09:18:40
2020-11-09,2021-12-12,2022-06,2022-02-04 13:28:53
2019-08-28,2022-10-23,2022-01,2022-08-09 23:20:07
2019-01-07,2021-10-28,2021-11,2022-02-14 01:03:21
2021-01-21,2022-09-13,2022-04,2022-04-21 02:48:26
2021-05-31,2022-01-07,2022-07,2022-03-30 21:25:04
2019-12-29,2022-01-30,2021-11,2022-06-29 17:10:34
2020-10-20,2021-11-15,2021-11,2022-03-07 01:13:57
2019-08-31,2022-06-19,2022-04,2022-09-05 18:58:54
2019-09-21,2022-09-03,2022-09,2022-07-28 02:43:44
2021-10-05,2022-01-16,2022-09,2022-09-22 09:56:40
2020-02-23,2022-05-23,2022-06,2021-12-09 06:40:24
2021-01-31,2022-06-05,2021-11,2022-06-15 23:20:10
2019-01-01,2021-12-26,2022-05,2022-08-18 21:29:59
2020-07-17,2022-01-19,2022-10,2022-08-19 05:00:15
2020-12-19,2022-08-25,2022-03,2022-04-02 03:01:46
2019-10-09,2022-07-05,2022-08,2021-11-16 21:40:36
2019-06-02,2021-12-18,2022-10,2022-03-05 08:07:37
2020-03-28,2022-08-05,2022-09,2022-01-06 10:46:21
2020-04-30,2022-06-24,2022-07,2021-11-16 15:13:23
2020-09-15,2022-06-27,2022-10,2022-05-21 09:33:10
2021-08-24,2021-11-17,2022-01,2022-01-09 09:29:35
2019-11-10,2022-01-22,2021-12,2022-03-18 17:34:13
2020-08-03,2022-09-29,2022-02,2022-04-26 15:06:05
2020-11-04,2022-01-24,2022-04,2021-12-28 22:27:53
2020-10-15,2022-10-25,2021-12,2022-09-08 07:57:30
2021-10-07,2022-08-26,2022-08,2022-03-16 17:52:24
2019-04-30,2022-03-23,2022-01,2022-01-15 23:06:40
2020-02-07,2022-10-24,2022-07,2022-08-21 14:24:31
2021-02-07,2022-01-31,2022-02,2022-05-15 10:42:45
2020-07-07,2021-12-24,2022-04,2021-12-02 11:54:27
2021-07-12,2021-12-07,2022-07,2022-08-08 22:29:51
2019-03-05,2022-03-20,2022-01,2022-04-20 02:12:24
2018-11-09,2022-04-07,2022-01,2021-12-10 00:43:04
2018-11-06,2022-06-03,2021-12,2022-02-06 14:58:31
2020-10-01,2022-01-24,2022-04,2022-06-11 07:39:12
2021-08-31,2022-02-04,2022-08,2022-07-21 08:40:32
2021-02-05,2022-06-15,2022-04,2022-02-06 06:23:28
2018-12-24,2022-03-23,2022-01,2022-10-24 00:26:56
2020-11-19,2022-07-03,2022-01,2022-04-06 13:13:11
2021-10-08,2022-01-26,2022-05,2022-07-06 15:14:03
2021-09-11,2022-02-04,2021-12,2021-12-10 06:14:13
2019-05-16,2022-04-16,2022-06,2022-07-25 23:09:12
2019-07-26,2022-05-19,2022-08,2022-08-04 09:00:56
2020-07-28,2022-04-22,2022-03,2022-03-09 18:32:28
2019-03-07,2022-02-07,2021-11,2021-12-15 09:29:05
2020-06-04,2022-05-14,2022-06,2022-02-21 13:50:21
2020-11-14,2021-11-19,2022-06,2022-09-14 13:51:25
2020-12-14,2022-09-28,2022-08,2021-11-28 19:31:48
2021-02-20,2022-02-02,2021-12,2022-01-07 18:46:35
2020-03-22,2022-04-16,2022-08,2022-06-07 03:06:22
2020-04-26,2021-11-06,2022-10,2022-06-13 04:51:07
2020-04-26,2022-03-29,2022-03,2022-03-01 22:08:32
2021-05-28,2022-09-28,2022-05,2022-03-12 11:44:29
2021-10-27,2021-12-07,2021-11,2021-12-21 02:05:19
2021-04-11,2021-12-23,2021-11,2021-11-26 08:44:27
2020-12-01,2022-03-09,2022-01,2022-01-23 13:25:53
2019-06-16,2022-10-10,2021-11,2022-07-05 00:13:32
2021-03-28,2022-05-09,2022-04,2022-05-10 07:34:22
2018-12-29,2022-05-02,2022-04,2022-07-09 19:36:34
2019-03-18,2022-07-10,2022-10,2022-02-24 22:29:52
2021-07-13,2022-01-20,2022-01,2022-09-03 03:29:56
2020-07-21,2022-07-30,2022-01,2022-06-28 17:28:13
2021-08-29,2021-12-09,2021-11,2022-06-05 19:56:52
2020-08-04,2022-02-09,2022-10,2022-10-19 13:21:20
2019-12-23,2022-04-13,2022-06,2022-05-20 16:56:03
2019-05-25,2022-04-25,2022-07,2022-07-17 17:18:14
2021-05-28,2022-06-30,2021-11,2022-03-04 18:31:42
2020-04-23,2022-06-25,2021-12,2022-06-18 21:30:49
2019-10-11,2022-05-03,2022-09,2022-09-15 23:37:23
2021-07-20,2021-12-15,2022-05,2022-06-24 22:42:42
2020-10-29,2022-07-20,2022-01,2022-10-05 01:13:56
2019-02-03,2022-06-03,2022-04,2022-03-15 16:53:37
2020-12-09,2022-02-07,2022-05,2022-07-07 02:09:53
2019-03-21,2022-02-24,2022-01,2022-10-14 06:24:56
2018-10-31,2022-09-17,2022-01,2022-06-01 04:26:53
2021-03-30,2022-05-16,2022-04,2022-05-22 17:46:46
2019-05-20,2022-01-04,2021-12,2021-12-29 04:14:11
2019-01-27,2021-12-04,2022-07,2022-09-16 11:25:45
2019-02-26,2021-11-26,2022-03,2022-10-10 06:40:11
2020-09-23,2022-10-07,2022-04,2022-02-22 00:08:43
2019-12-20,2022-06-22,2022-09,2022-04-16 22:49:36
2020-04-26,2022-09-16,2022-08,2022-03-25 08:15:55
2019-05-29,2021-11-24,2022-05,2022-07-03 07:49:28
2021-07-05,2021-11-01,2022-07,2022-08-18 08:44:00
2019-07-28,2022-10-16,2022-01,2022-02-20 05:47:43
2019-04-23,2022-10-05,2021-11,2022-06-02 21:33:49
2019-07-26,2022-06-16,2022-04,2021-11-25 06:51:03
2019-04-20,2022-03-02,2022-10,2022-07-08 15:07:48
2020-08-25,2022-08-08,2022-06,2022-03-29 19:08:59
2021-02-14,2021-12-05,2022-08,2022-06-30 04:15:55
2020-04-16,2022-02-03,2022-04,2022-02-15 11:26:52
2020-08-14,2022-05-08,2022-10,2022-07-27 18:08:14
2020-01-22,2022-10-16,2022-07,2022-01-30 11:15:21
2020-12-04,2022-01-26,2022-05,2021-12-30 05:33:47
2020-05-03,2022-05-11,2022-06,2022-02-24 16:19:46
2019-03-16,2022-08-20,2022-06,2022-09-03 03:03:22
2021-05-18,2022-04-06,2022-04,2022-04-20 04:42:54
2019-05-25,2022-01-29,2022-07,2021-11-27 11:33:19
2020-05-25,2022-04-13,2022-04,2021-11-09 10:09:49
2019-05-03,2022-03-01,2021-11,2022-04-23 09:52:34
2021-08-09,2022-10-06,2022-08,2022-01-22 04:13:52
2020-03-10,2022-06-28,2022-01,2022-06-23 18:27:10
2020-10-06,2022-04-05,2022-10,2022-08-30 02:51:41
2019-01-29,2022-01-10,2022-02,2022-01-15 11:26:17
2020-05-03,2022-02-03,2022-03,2022-07-23 22:22:06
2021-10-11,2022-01-12,2022-08,2022-08-13 23:29:53
2021-05-27,2022-08-23,2021-11,2022-09-11 22:36:34
2019-01-19,2022-04-08,2022-01,2021-11-09 16:36:24
2020-03-30,2022-07-29,2021-12,2021-11-04 02:57:29
2020-08-23,2022-08-01,2022-03,2022-04-01 05:32:32
2019-07-15,2022-04-17,2022-07,2022-02-02 03:59:18
2020-10-25,2022-06-29,2022-09,2022-05-16 09:03:34
2019-08-30,2022-02-21,2022-07,2022-01-08 01:30:34
2019-12-21,2021-12-06,2021-11,2022-07-23 22:13:35
2021-03-05,2022-01-14,2022-06,2021-12-22 07:12:33
2019-10-15,2022-03-14,2022-05,2022-04-20 07:37:35
2019-06-03,2022-09-07,2022-01,2022-04-10 07:56:26
2020-02-29,2021-11-24,2022-04,2022-04-20 12:30:49
2020-06-04,2022-04-22,2021-12,2022-07-14 11:57:51
2019-11-06,2022-03-17,2022-04,2022-01-29 11:13:03
2021-03-07,2022-05-06,2022-09,2022-08-02 15:12:00
2020-05-05,2022-03-29,2022-06,2022-10-17 03:04:45
2018-11-16,2022-02-20,2021-12,2021-11-13 21:23:47
2020-08-17,2022-08-04,2021-11,2022-08-02 14:38:16
2020-08-15,2022-02-13,2022-03,2021-12-02 16:18:18
2019-06-22,2021-11-28,2022-03,2021-11-21 15:38:46
2020-08-09,2022-10-17,2022-08,2022-01-23 05:47:50
2020-12-11,2022-03-22,2022-08,2022-02-11 16:29:53
2020-02-27,2022-06-30,2022-04,2021-12-02 01:01:08
2021-01-31,2022-03-10,2022-01,2022-07-08 02:02:57
2020-12-10,2021-12-23,2022-09,2022-08-10 03:17:17
2020-08-02,2022-05-20,2022-02,2021-12-31 12:04:56
2019-07-30,2021-11-25,2021-12,2022-10-05 07:07:15
2019-05-27,2022-10-23,2022-06,2022-10-09 21:34:43
2021-03-06,2022-04-01,2022-02,2022-04-06 06:48:32
2021-01-06,2022-01-31,2022-04,2022-05-08 15:19:23
2021-02-21,2022-01-11,2022-09,2022-07-21 04:36:49
2020-02-21,2022-08-06,2022-07,2022-09-15 06:59:08
2019-10-07,2022-09-04,2022-09,2022-03-24 17:32:09
2021-08-08,2022-04-09,2022-09,2021-12-25 02:31:29
2021-10-05,2022-07-17,2022-05,2022-02-08 17:10:25
2021-02-12,2022-05-05,2022-05,2022-04-13 13:42:41
2019-04-20,2022-08-03,2022-03,2022-01-09 15:19:15
2020-08-12,2022-04-14,2022-09,2022-09-24 00:48:33
2020-10-27,2022-03-24,2022-10,2022-06-13 20:45:50
2019-03-22,2022-02-22,2022-08,2022-02-19 12:00:58
2021-01-06,2022-10-04,2022-09,2022-03-20 17:58:49
2021-05-25,2022-02-16,2022-07,2022-05-09 01:33:31
2021-08-19,2021-10-31,2021-10,2022-04-16 00:35:33
2019-03-29,2022-03-10,2021-12,2022-07-24 21:59:48
2020-05-10,2022-08-04,2022-03,2022-04-26 00:19:54
2021-07-23,2022-07-15,2021-11,2022-10-21 13:41:05
2019-10-07,2022-04-09,2022-02,2021-12-12 00:08:29
2021-01-16,2022-10-03,2022-02,2022-07-01 08:50:04
2021-06-07,2022-05-12,2022-05,2022-03-28 07:29:11
2020-01-28,2022-05-09,2021-12,2022-04-02 06:11:08
2019-09-16,2022-05-09,2022-08,2022-09-05 14:03:35
2020-04-11,2022-08-05,2022-05,2022-04-23 20:16:57
2020-03-10,2022-02-15,2022-01,2022-07-28 11:03:30
2020-09-25,2021-12-11,2022-05,2022-09-09 12:03:29
2021-04-28,2022-04-19,2022-05,2022-07-30 07:45:52
2019-04-17,2021-12-02,2022-01,2022-06-01 00:39:52
2020-03-23,2022-02-28,2022-04,2022-10-12 13:39:42
2021-02-07,2022-08-08,2022-10,2022-02-05 19:50:22
2020-02-03,2021-12-22,2022-04,2022-08-20 22:14:40
2021-08-16,2022-06-17,2022-02,2022-02-02 03:04:18
2019-09-27,2022-06-12,2022-05,2022-03-10 14:24:07
2020-04-19,2022-05-29,2021-10,2022-06-26 21:24:22
2020-03-08,2022-04-07,2022-09,2022-10-16 02:40:23
2021-09-06,2022-04-10,2022-08,2022-02-04 20:39:32
2021-01-08,2022-06-15,2022-02,2022-01-10 03:21:33
2018-12-19,2022-04-13,2022-07,2022-02-13 07:05:45
2019-01-31,2022-07-11,2022-07,2022-08-27 15:07:09
2021-04-07,2021-12-22,2021-11,2022-10-13 01:17:58
2021-06-10,2022-06-07,2022-07,2022-07-02 20:42:06
2019-10-19,2022-10-02,2022-03,2022-06-30 00:31:10
2019-07-14,2022-05-05,2021-12,2022-03-21 15:54:06
2019-08-17,2022-05-14,2022-05,2022-06-22 16:53:12
2019-08-18,2022-08-14,2022-09,2022-05-19 23:46:10
2019-12-15,2022-08-21,2022-05,2022-03-30 17:43:19
2020-12-01,2022-02-13,2021-11,2022-06-28 06:39:05
2020-03-08,2021-11-29,2022-02,2022-06-08 07:06:10
2021-04-28,2022-01-25,2021-11,2022-05-10 07:05:05
2021-01-19,2022-07-13,2022-03,2022-01-30 14:02:49
2019-06-27,2022-04-04,2022-02,2022-02-04 20:49:47
2020-06-29,2022-08-10,2022-02,2022-09-02 23:47:38
2019-12-30,2022-04-29,2022-06,2022-05-15 03:04:28
2020-05-09,2022-07-07,2022-09,2022-04-17 09:07:40
2020-10-02,2022-06-01,2022-08,2022-08-16 14:21:51
2020-12-11,2021-12-26,2021-12,2022-07-23 22:52:08
2018-11-26,2021-11-18,2022-10,2022-07-31 00:47:40
2021-07-09,2022-08-11,2022-05,2022-05-24 22:06:33
2020-03-08,2022-04-16,2022-01,2022-03-07 10:24:03
2019-01-17,2022-04-28,2022-02,2022-01-25 07:15:46
2019-10-25,2022-01-25,2022-01,2022-05-17 10:55:14
2020-09-10,2022-07-18,2022-02,2022-06-01 11:31:32
