name,origin,acceleration,horse_power,miles_per_gallon,year
chevrolet chevelle malibu,USA,12.0,130,18.0,1970-01-01
buick skylark 320,USA,11.5,165,15.0,1970-01-01
plymouth satellite,USA,11.0,150,18.0,1970-01-01
amc rebel sst,USA,12.0,150,16.0,1970-01-01
ford torino,USA,10.5,140,17.0,1970-01-01
ford galaxie 500,USA,10.0,198,15.0,1970-01-01
chevrolet impala,USA,9.0,220,14.0,1970-01-01
plymouth fury iii,USA,8.5,215,14.0,1970-01-01
pontiac catalina,USA,10.0,225,14.0,1970-01-01
amc ambassador dpl,USA,8.5,190,15.0,1970-01-01
citroen ds-21 pallas,Europe,17.5,115,"",1970-01-01
chevrolet chevelle concours (sw),USA,11.5,165,"",1970-01-01
ford torino (sw),USA,11.0,153,"",1970-01-01
plymouth satellite (sw),USA,10.5,175,"",1970-01-01
amc rebel sst (sw),USA,11.0,175,"",1970-01-01
dodge challenger se,USA,10.0,170,15.0,1970-01-01
plymouth 'cuda 340,USA,8.0,160,14.0,1970-01-01
ford mustang boss 302,USA,8.0,140,"",1970-01-01
chevrolet monte carlo,USA,9.5,150,15.0,1970-01-01
buick estate wagon (sw),USA,10.0,225,14.0,1970-01-01
toyota corona mark ii,Japan,15.0,95,24.0,1970-01-01
plymouth duster,USA,15.5,95,22.0,1970-01-01
amc hornet,USA,15.5,97,18.0,1970-01-01
ford maverick,USA,16.0,85,21.0,1970-01-01
datsun pl510,Japan,14.5,88,27.0,1970-01-01
volkswagen 1131 deluxe sedan,Europe,20.5,46,26.0,1970-01-01
peugeot 504,Europe,17.5,87,25.0,1970-01-01
audi 100 ls,Europe,14.5,90,24.0,1970-01-01
saab 99e,Europe,17.5,95,25.0,1970-01-01
bmw 2002,Europe,12.5,113,26.0,1970-01-01
amc gremlin,USA,15.0,90,21.0,1970-01-01
ford f250,USA,14.0,215,10.0,1970-01-01
chevy c20,USA,15.0,200,10.0,1970-01-01
dodge d200,USA,13.5,210,11.0,1970-01-01
hi 1200d,USA,18.5,193,9.0,1970-01-01
datsun pl510,Japan,14.5,88,27.0,1971-01-01
chevrolet vega 2300,USA,15.5,90,28.0,1971-01-01
toyota corona,Japan,14.0,95,25.0,1971-01-01
ford pinto,USA,19.0,"",25.0,1971-01-01
volkswagen super beetle 117,Europe,20.0,48,"",1971-01-01
amc gremlin,USA,13.0,100,19.0,1971-01-01
plymouth satellite custom,USA,15.5,105,16.0,1971-01-01
chevrolet chevelle malibu,USA,15.5,100,17.0,1971-01-01
ford torino 500,USA,15.5,88,19.0,1971-01-01
amc matador,USA,15.5,100,18.0,1971-01-01
chevrolet impala,USA,12.0,165,14.0,1971-01-01
pontiac catalina brougham,USA,11.5,175,14.0,1971-01-01
ford galaxie 500,USA,13.5,153,14.0,1971-01-01
plymouth fury iii,USA,13.0,150,14.0,1971-01-01
dodge monaco (sw),USA,11.5,180,12.0,1971-01-01
ford country squire (sw),USA,12.0,170,13.0,1971-01-01
pontiac safari (sw),USA,12.0,175,13.0,1971-01-01
amc hornet sportabout (sw),USA,13.5,110,18.0,1971-01-01
chevrolet vega (sw),USA,19.0,72,22.0,1971-01-01
pontiac firebird,USA,15.0,100,19.0,1971-01-01
ford mustang,USA,14.5,88,18.0,1971-01-01
mercury capri 2000,USA,14.0,86,23.0,1971-01-01
opel 1900,Europe,14.0,90,28.0,1971-01-01
peugeot 304,Europe,19.5,70,30.0,1971-01-01
fiat 124b,Europe,14.5,76,30.0,1971-01-01
toyota corolla 1200,Japan,19.0,65,31.0,1971-01-01
datsun 1200,Japan,18.0,69,35.0,1971-01-01
volkswagen model 111,Europe,19.0,60,27.0,1971-01-01
plymouth cricket,USA,20.5,70,26.0,1971-01-01
toyota corona hardtop,Japan,15.5,95,24.0,1972-01-01
dodge colt hardtop,USA,17.0,80,25.0,1972-01-01
volkswagen type 3,Europe,23.5,54,23.0,1972-01-01
chevrolet vega,USA,19.5,90,20.0,1972-01-01
ford pinto runabout,USA,16.5,86,21.0,1972-01-01
chevrolet impala,USA,12.0,165,13.0,1972-01-01
pontiac catalina,USA,12.0,175,14.0,1972-01-01
plymouth fury iii,USA,13.5,150,15.0,1972-01-01
ford galaxie 500,USA,13.0,153,14.0,1972-01-01
amc ambassador sst,USA,11.5,150,17.0,1972-01-01
mercury marquis,USA,11.0,208,11.0,1972-01-01
buick lesabre custom,USA,13.5,155,13.0,1972-01-01
oldsmobile delta 88 royale,USA,13.5,160,12.0,1972-01-01
chrysler newport royal,USA,12.5,190,13.0,1972-01-01
mazda rx2 coupe,Japan,13.5,97,19.0,1972-01-01
amc matador (sw),USA,12.5,150,15.0,1972-01-01
chevrolet chevelle concours (sw),USA,14.0,130,13.0,1972-01-01
ford gran torino (sw),USA,16.0,140,13.0,1972-01-01
plymouth satellite custom (sw),USA,14.0,150,14.0,1972-01-01
volvo 145e (sw),Europe,14.5,112,18.0,1972-01-01
volkswagen 411 (sw),Europe,18.0,76,22.0,1972-01-01
peugeot 504 (sw),Europe,19.5,87,21.0,1972-01-01
renault 12 (sw),Europe,18.0,69,26.0,1972-01-01
ford pinto (sw),USA,16.0,86,22.0,1972-01-01
datsun 510 (sw),Japan,17.0,92,28.0,1972-01-01
