model,origin,release_year
XC70,USA,2002
NV2500,Europe,2004
Savana 2500,USA,2002
Dakota,Europe,2002
LeSabre,USA,2002
Cooper,USA,2004
929,Europe,2004
Eldorado,Europe,2002
9-5,Japan,2002
Daewoo Kalos,USA,2004
Equator,Europe,2002
Voyager,Japan,2004
Golf,USA,2002
Galant,Japan,2004
H1,USA,2002
9-5,Europe,2002
CLK-Class,Europe,2004
Ram Van 3500,Japan,2002
J,Europe,2004
C8 Double 12 S,Japan,2004
Aurora,USA,2004
ES,Europe,2004
Lucerne,Europe,2004
Dakota Club,Europe,2002
LR4,Europe,2004
GL-Class,Japan,2002
Explorer Sport Trac,Japan,2002
Mazda3,USA,2002
Patriot,Japan,2004
Golf,Europe,2004
Familia,USA,2004
Fit,Japan,2002
Escort,USA,2002
9-3,Europe,2002
Aveo,USA,2004
Ram Van 3500,Japan,2002
Park Avenue,USA,2004
Montero Sport,Japan,2004
Avanti,Europe,2004
2500,Europe,2004
M-Class,Europe,2004
Civic,Japan,2004
57,USA,2004
Corsica,Japan,2002
Yukon XL 1500,Japan,2002
E-Series,USA,2004
S4,Europe,2004
Murano,USA,2002
Boxster,Europe,2002
Escalade,USA,2004
Ranger,Japan,2002
Esteem,Japan,2002
Mazda6,Japan,2004
Range Rover Classic,USA,2004
Ridgeline,USA,2002
Samurai,USA,2002
E-350 Super Duty Van,Europe,2004
Solara,Japan,2002
Aura,Japan,2004
M-Class,Europe,2004
Ramcharger,USA,2004
M-Class,Europe,2002
Aerio,USA,2002
Pacifica,Japan,2004
Tercel,USA,2002
G37,Japan,2004
Prelude,USA,2002
Acadia,Europe,2004
Integra,USA,2002
Boxster,Japan,2002
CX-9,Japan,2004
Expo,Japan,2002
H2,Japan,2004
Corvette,Japan,2004
Astro,Japan,2004
G,Japan,2004
Jetta,Europe,2004
T100,Europe,2004
5 Series,Europe,2002
CL,Japan,2004
Grand Vitara,Japan,2004
600SEL,Europe,2002
HHR,USA,2002
Cordia,Europe,2002
Impreza,Japan,2002
RL,Japan,2004
Mustang,USA,2002
Freestar,USA,2004
Thunderbird,Europe,2002
3 Series,Europe,2004
Ram 3500,USA,2002
Leaf,USA,2004
3 Series,USA,2004
4000s,USA,2002
370Z,USA,2002
Bronco,Japan,2004
Tredia,Europe,2004
Prelude,Japan,2004
Skylark,USA,2002
Suburban 2500,USA,2004
V50,Europe,2004
Ramcharger,Japan,2002
Continental,Europe,2002
Tahoe,USA,2004
Envoy,Japan,2002
Rodeo,Europe,2004
ZDX,Japan,2004
Fit,Europe,2004
Caliber,USA,2004
Avenger,Japan,2002
Ram 2500,Japan,2004
Corvette,Japan,2002
DB9,Japan,2004
Mazda6,Japan,2004
5000CS,USA,2002
LeSabre,Europe,2002
Amigo,Japan,2004
Yaris,USA,2004
Mirage,USA,2002
Silhouette,Europe,2002
Clubman,USA,2004
Altima,USA,2004
Avalon,Europe,2002
Mazda5,Europe,2002
9000,Japan,2004
Camaro,Japan,2002
Grand Vitara,Europe,2004
Jetta,Europe,2002
Park Avenue,Japan,2002
Ranger,Europe,2004
Challenger,USA,2002
Sportage,USA,2004
Maxima,Japan,2002
Grand Prix,USA,2002
Corrado,USA,2004
G,USA,2004
Phantom,Japan,2004
300CE,Europe,2004
E250,Europe,2004
Daytona,Japan,2002
Escalade,Japan,2004
Grand Vitara,Japan,2002
Miata MX-5,USA,2004
Tahoe,Japan,2004
350Z,Japan,2004
Supra,Japan,2002
Prelude,Europe,2004
Aspen,Japan,2002
Versa,USA,2004
B-Series Plus,USA,2004
Fortwo,Japan,2004
62,Japan,2002
Tercel,USA,2004
Continental,USA,2004
C70,Japan,2002
E150,Japan,2004
Villager,Europe,2002
300M,USA,2004
3 Series,USA,2002
928,Europe,2002
Cabriolet,Japan,2002
Continental Mark VII,USA,2004
ES,Europe,2004
Sunbird,Europe,2004
V8 Vantage,Europe,2004
Continental Mark VII,Europe,2004
Grand Prix,USA,2004
V50,Europe,2002
Corvette,USA,2002
Club Wagon,Japan,2002
Cooper,Japan,2002
Civic,Europe,2002
Legacy,Japan,2004
Altima,USA,2004
Sunbird,Japan,2002
Xterra,USA,2002
RAV4,Japan,2002
Spirit,Japan,2002
Pathfinder,Europe,2004
4Runner,Japan,2004
Suburban,Europe,2004
Sportage,USA,2004
Excursion,USA,2004
Tiburon,USA,2002
Century,Japan,2002
Dakota,Japan,2002
Diablo,Europe,2002
Amigo,USA,2004
M,Japan,2002
CLK-Class,USA,2004
Armada,USA,2002
XC70,Europe,2002
MX-5,Europe,2002
Ciera,USA,2002
Caravan,Europe,2004
M6,USA,2004
Prizm,USA,2004
Tiburon,Europe,2004
9-5,Japan,2004
S2000,Japan,2002
Corsica,Europe,2004
Protege5,USA,2002
LeSabre,Europe,2004
G37,Europe,2002
Escort,Japan,2004
Defender,Europe,2004
Express 2500,USA,2002
Celica,Japan,2004
RS4,Japan,2002
Suburban 1500,Europe,2002
E-Class,Japan,2002
Continental,USA,2004
Biturbo,USA,2004
Topaz,Japan,2002
Taurus,Europe,2004
Cabriolet,Europe,2004
Explorer,Japan,2002
Regal,USA,2004
GTI,Japan,2004
DeVille,Japan,2004
Corvette,USA,2002
626,USA,2002
Thunderbird,Japan,2002
Murano,Japan,2002
Quattroporte,Europe,2004
MDX,USA,2004
QX56,USA,2004
Sentra,Europe,2004
Vitara,USA,2004
240,Japan,2002
S-Class,USA,2002
Familia,Europe,2004
Swift,Japan,2002
B2600,Japan,2004
Malibu,USA,2002
Altima,Europe,2002
Outlander,USA,2004
Elise,Japan,2004
Grand Am,Japan,2004
SL-Class,Japan,2002
Suburban 1500,USA,2002
California,Europe,2002
Expedition,USA,2004
Expo,Japan,2004
Camry Hybrid,Europe,2002
600,USA,2002
TL,Japan,2004
Hombre,Europe,2002
CTS-V,USA,2004
Accent,Japan,2002
MDX,USA,2004
CX-9,USA,2002
RS4,Europe,2002
Yukon,USA,2002
Thunderbird,Japan,2002
M6,Europe,2002
Sierra 1500,Japan,2002
Escape,Europe,2002
Charger,Japan,2002
Passport,Europe,2002
Dakota,Europe,2002
Range Rover Sport,Japan,2004
Classic,USA,2002
Tahoe,Europe,2004
Range Rover,Japan,2004
Sequoia,Europe,2004
Cruze,Japan,2002
Camaro,Europe,2002
H2 SUT,Japan,2002
S5,Japan,2002
Lancer Evolution,Europe,2004
CTS-V,Japan,2004
Sunbird,Japan,2004
H3,USA,2002
E350,Europe,2002
RX-8,USA,2002
Aveo,Japan,2002
Silverado 3500,Japan,2002
Mazda3,Europe,2002
458 Italia,Japan,2004
Sephia,Europe,2004
CC,USA,2004
Sedona,Japan,2004
Expo,USA,2002
Tercel,Japan,2004
Sable,Europe,2002
Samurai,USA,2004
G8,USA,2002
Diamante,Europe,2004
Grand Marquis,USA,2002
240SX,Japan,2002
Impreza,Japan,2002
1500,Europe,2002
Land Cruiser,USA,2002
Wrangler,Japan,2004
3000GT,Europe,2002
S-Type,Europe,2002
Corolla,Europe,2002
Matrix,Japan,2004
Durango,USA,2002
Camry,Europe,2004
Express 2500,Europe,2002
Maxima,Europe,2002
Montego,Japan,2002
DeVille,Europe,2002
Ranger,Japan,2002
ES,Japan,2004
M,Europe,2002
Crossfire,Europe,2004
Suburban,USA,2002
CR-V,USA,2002
Villager,Japan,2002
E-Class,Europe,2002
xB,USA,2004
Aurora,Japan,2002
Ciera,Europe,2004
Montero,USA,2002
Land Cruiser,USA,2002
Regal,USA,2002
Elantra,Japan,2002
Grand Caravan,Japan,2002
C-Class,USA,2002
Montana,USA,2004
Mustang,Japan,2004
Impreza WRX,Japan,2002
Karif,USA,2002
Space,USA,2004
600,Japan,2002
Astro,USA,2004
Land Cruiser,Europe,2002
S2000,USA,2004
Escalade,Japan,2002
Celica,USA,2002
Diamante,Japan,2004
Avalanche 2500,Japan,2002
Corolla,Europe,2002
Continental,Europe,2002
S8,Europe,2002
Sky,Europe,2004
MX-5,USA,2002
Rio,Europe,2002
E150,Europe,2002
S2000,Europe,2002
Firefly,Japan,2002
Topaz,USA,2002
Camry,Japan,2004
Solara,USA,2002
Thunderbird,Japan,2002
HHR,USA,2002
MKT,Japan,2004
W201,USA,2004
MKX,Europe,2004
SX4,USA,2004
C8 Spyder,USA,2002
CLK-Class,Japan,2004
XC90,Japan,2002
Bravada,Europe,2004
Taurus,Europe,2004
Passat,Japan,2002
Highlander,Japan,2002
Impala,Japan,2002
Tracker,Europe,2002
Escape,Japan,2002
Santa Fe,USA,2002
Intrepid,USA,2004
Starion,Japan,2002
Concorde,Europe,2004
Paseo,Japan,2004
DeVille,Japan,2002
NSX,Japan,2004
Express 2500,USA,2002
Veyron,USA,2004
Forester,USA,2002
Grand Prix,USA,2004
G,USA,2002
Club Wagon,Europe,2004
Cobalt,USA,2004
Sequoia,Japan,2004
DeVille,USA,2002
530,Japan,2002
Hombre,Europe,2002
Type 2,Japan,2002
Regal,Europe,2004
Borrego,Europe,2004
RDX,USA,2002
W201,Europe,2002
Sienna,Japan,2004
G6,Japan,2002
Courier,USA,2004
GTI,USA,2002
Chariot,Europe,2002
TSX,Japan,2002
Century,Europe,2002
Accord,Japan,2002
H1,USA,2002
Corvette,Europe,2004
SJ,Europe,2004
Riviera,USA,2002
A4,Japan,2002
Impala,Europe,2002
Tahoe,Japan,2004
Thunderbird,Europe,2002
Rodeo Sport,USA,2002
X6,Europe,2004
Camaro,Japan,2004
E-Class,USA,2002
Caliber,Europe,2002
525,Japan,2004
SRX,Europe,2004
Aspen,USA,2002
B-Series Plus,Japan,2002
Quantum,Europe,2002
DeVille,USA,2002
Spider,Europe,2002
Ram 3500,USA,2002
Cabriolet,Japan,2002
Continental,Europe,2004
600,USA,2002
Grand Prix,Europe,2002
LeSabre,USA,2004
3 Series,USA,2004
Avalon,Europe,2004
xA,USA,2004
Ghost,Japan,2002
Navigator,Europe,2002
Quattroporte,USA,2004
S-Type,Europe,2004
Monte Carlo,Europe,2004
M,USA,2002
F250,Japan,2002
S80,Europe,2004
Avalon,Japan,2004
CX-9,Europe,2004
Celica,USA,2002
Relay,Japan,2004
LHS,USA,2004
300M,Japan,2002
Aviator,Japan,2004
Lucerne,Europe,2004
Equinox,USA,2002
Impreza,Europe,2004
Pajero,USA,2004
CTS,Japan,2004
Achieva,Japan,2002
Navigator,Japan,2002
GS,Japan,2004
XJ,Japan,2004
Century,USA,2002
Wrangler,Japan,2004
MKZ,USA,2004
TT,Japan,2004
XLR,Japan,2004
Focus,USA,2002
Mazda5,USA,2002
Aveo,Japan,2002
Malibu,USA,2002
3500,Europe,2002
RAV4,Europe,2004
Tribute,Europe,2004
Golf,Europe,2004
E350,Japan,2004
Accord,USA,2004
Outback,Japan,2004
Allante,Europe,2002
Ridgeline,Europe,2004
Eclipse,Europe,2004
S40,USA,2002
Camry Solara,USA,2002
Mini Cooper,Europe,2002
Caravan,Japan,2004
Quest,Japan,2002
Aventador,USA,2004
Mazda2,Japan,2002
Space,Japan,2004
RX-7,Japan,2002
Electra,USA,2002
Silverado 1500,Japan,2004
Avenger,Japan,2002
Sentra,Japan,2002
Suburban 2500,USA,2002
TL,Japan,2002
S6,Japan,2004
9-7X,USA,2004
Yukon XL 2500,Europe,2002
B-Series Plus,Europe,2004
S-Type,USA,2002
RS 4,USA,2004
Cooper,USA,2004
Vibe,USA,2002
Thunderbird,Europe,2002
Caprice,Europe,2004
RL,USA,2004
Supra,Europe,2002
